,url,address,loc,price,m2,type
0,http://english.habitaclia.com/buy-flat-legazpi-madrid-i18529003750365.htm,,Legazpi,446500,104,flat
1,http://english.habitaclia.com/buy-flat-bellas_vistas-madrid-i15999000000097.htm,,Bellas Vistas,147000,43,flat
2,http://english.habitaclia.com/buy-flat-via_carpetana_147_vista_alegre-madrid-i500003725158.htm,,Vista Alegre,172000,77,flat
3,http://english.habitaclia.com/buy-flat-del_papa_negro_129_piovera_conde_de_orgaz-madrid-i500003338454.htm,,Piovera-Conde de Orgaz,440000,90,flat
4,http://english.habitaclia.com/buy-flat-de_lopez_de_hoyos_188_prosperidad-madrid-i500003266449.htm,,Prosperidad,330000,82,flat
5,http://english.habitaclia.com/buy-flat-orcasitas-madrid-i500003085354.htm,,Orcasitas,324000,120,flat
6,http://english.habitaclia.com/buy-flat-nicasio_gallego_7_trafalgar-madrid-i500003555364.htm,,Trafalgar,1025000,200,flat
7,http://english.habitaclia.com/buy-flat-simancas-madrid-i500002961702.htm,,Simancas,235000,63,flat
8,http://english.habitaclia.com/buy-flat-acacias-madrid-i16494000000243.htm,,Acacias,512000,107,flat
9,http://english.habitaclia.com/buy-flat-guindalera-madrid-i500003734386.htm,,Guindalera,450000,112,flat
10,http://english.habitaclia.com/buy-flat-los_rosales-madrid-i15511003002122.htm,,Los Rosales,195000,123,flat
11,http://english.habitaclia.com/buy-flat-de_las_peonias_13_palomas-madrid-i500003720598.htm,,Palomas,630000,230,flat
12,http://english.habitaclia.com/buy-flat-pueblo_nuevo-madrid-i500003740234.htm,,Pueblo Nuevo,330000,90,flat
13,http://english.habitaclia.com/buy-flat-de_alcala_189_goya-madrid-i500003667737.htm,,Goya,650000,108,flat
14,http://english.habitaclia.com/buy-flat-pradolongo-madrid-i23961000000036.htm,,Pradolongo,215000,115,flat
15,http://english.habitaclia.com/buy-flat-puerta_bonita-madrid-i23961000000033.htm,,Puerta Bonita,99900,51,flat
16,http://english.habitaclia.com/buy-flat-san_isidro-madrid-i23961000000038.htm,,San Isidro,145000,77,flat
17,http://english.habitaclia.com/buy-flat-puerta_bonita-madrid-i23961000000037.htm,,Puerta Bonita,139500,82,flat
18,http://english.habitaclia.com/buy-flat-puerta_bonita-madrid-i23961000000032.htm,,Puerta Bonita,Opportuni,115,flat
19,http://english.habitaclia.com/buy-flat-puerta_bonita-madrid-i23961000000031.htm,,Puerta Bonita,93000,53,flat
20,http://english.habitaclia.com/buy-flat-embajadores_lavapies-madrid-i15571000000386.htm,,Embajadores-Lavapiés,120000,29,flat
21,http://english.habitaclia.com/buy-flat-de_los_platillos_5_cuatro_vientos-madrid-i500003675002.htm,,Cuatro Vientos,235000,69,flat
22,http://english.habitaclia.com/buy-flat-lista-madrid-i500003665489.htm,,Lista,1090000,160,flat
23,http://english.habitaclia.com/buy-flat-los_rosales-madrid-i16712000000581.htm,,Los Rosales,308000,137,flat
24,http://english.habitaclia.com/buy-flat-antonio_romero_13_abrantes-madrid-i21425000000047.htm,,Abrantes,290000,100,flat
25,http://english.habitaclia.com/buy-flat-prosperidad-madrid-i15501000006197.htm,,Prosperidad,451000,106,flat
26,http://english.habitaclia.com/buy-flat-delicias-madrid-i15501000006196.htm,,Delicias,175000,47,flat
27,http://english.habitaclia.com/buy-flat-palacio-madrid-i15501000006195.htm,,Palacio,639000,126,flat
28,http://english.habitaclia.com/buy-flat-rios_rosas_nuevos_ministerios-madrid-i15501000006148.htm,,Ríos Rosas-Nuevos Ministerios,225000,40,flat
29,http://english.habitaclia.com/buy-flat-castillejos_cuzco-madrid-i15501000006194.htm,,Castillejos-Cuzco,329000,80,flat
30,http://english.habitaclia.com/buy-flat-de_arturo_soria_99_san_juan_bautista-madrid-i500003666474.htm,,San Juan Bautista,350000,75,flat
31,http://english.habitaclia.com/buy-flat-berruguete-madrid-i500003663722.htm,,Berruguete,169000,54,flat
32,http://english.habitaclia.com/buy-flat-de_antonio_duran_tovar_3_palomeras_bajas-madrid-i500003665516.htm,,Palomeras Bajas,112000,54,flat
33,http://english.habitaclia.com/buy-flat-de_camarena_136_aluche-madrid-i500003670419.htm,,Aluche,129000,70,flat
34,http://english.habitaclia.com/buy-flat-de_diana_24_canillejas-madrid-i500003744453.htm,,Canillejas,235000,115,flat
35,http://english.habitaclia.com/buy-apartment-trafalgar-madrid-i4975003170454.htm,,Trafalgar,730000,115,flat
36,http://english.habitaclia.com/buy-apartment-goya-madrid-i4975003170439.htm,,Goya,740000,120,flat
37,http://english.habitaclia.com/buy-apartment-palacio-madrid-i4975003170409.htm,,Palacio,895000,151,flat
38,http://english.habitaclia.com/buy-flat-de_la_rioja_alameda_de_osuna-madrid-i26469000000013.htm,,Alameda de Osuna,398000,127,flat
