,url,address,loc,price,m2,type
0,http://english.habitaclia.com/buy-house-el_viso-madrid-i4975003169267.htm,,El Viso,5000000,682,house
1,http://english.habitaclia.com/buy-house-canillas-madrid-i500003682539.htm,,Canillas,660000,228,house
2,http://english.habitaclia.com/buy-house-puerta_bonita-madrid-i500003714697.htm,,Puerta Bonita,494000,180,house
3,http://english.habitaclia.com/buy-house-del_doctor_guiu_27_penagrande-madrid-i500003745798.htm,,Peñagrande,849000,372,house
4,http://english.habitaclia.com/buy-house-aravaca-madrid-i15511003001810.htm,,Aravaca,849000,244,house
5,http://english.habitaclia.com/buy-house-canillejas-madrid-i15511003002448.htm,,Canillejas,1250000,329,house
6,http://english.habitaclia.com/buy-house-orcasitas-madrid-i15511003002451.htm,,Orcasitas,240000,81,house
7,http://english.habitaclia.com/buy-house-casco_historico_de_barajas-madrid-i15511003002356.htm,,Casco Histórico de Barajas,569900,317,house
8,http://english.habitaclia.com/buy-house-montecarmelo-madrid-i15511003002240.htm,,Montecarmelo,1298000,290,house
9,http://english.habitaclia.com/buy-chalet_house-los_rosales-madrid-i17930000000018.htm,,Los Rosales,495000,264,house
10,http://english.habitaclia.com/buy-chalet_house-guindalera-madrid-i23744000010954.htm,,Guindalera,1095000,204,house
11,http://english.habitaclia.com/buy-chalet_house-ciudad_jardin-madrid-i23744000011629.htm,,Ciudad Jardín,1690000,300,house
12,http://english.habitaclia.com/buy-semi_detached_house-canillas-madrid-i26851000000051.htm,,Canillas,1450000,394,house
13,http://english.habitaclia.com/buy-house-de_la_grama_62_valdefuentes_valdebebas-madrid-i500003742781.htm,,Valdefuentes-Valdebebas,675000,265,house
14,http://english.habitaclia.com/buy-house-de_pilar_de_zaragoza_18_guindalera-madrid-i500003656023.htm,,Guindalera,1095000,204,house
15,http://english.habitaclia.com/buy-semi_detached_house-timon-madrid-i26851000000052.htm,,Timón,695000,265,house
16,http://english.habitaclia.com/buy-house-de_la_isla_de_saipan_31_penagrande-madrid-i500003628662.htm,,Peñagrande,830000,389,house
17,http://english.habitaclia.com/buy-semi_detached_house-de_julio_montero_19_tres_olivos_valverde-madrid-i500003624775.htm,,Tres Olivos-Valverde,165000,57,house
18,http://english.habitaclia.com/buy-house-piovera_conde_de_orgaz-madrid-i500003624634.htm,,Piovera-Conde de Orgaz,5000000,989,house
19,http://english.habitaclia.com/buy-house-aravaca-madrid-i15511003002227.htm,,Aravaca,950000,202,house
20,http://english.habitaclia.com/buy-house-aravaca-madrid-i15511003002389.htm,,Aravaca,929000,353,house
21,http://english.habitaclia.com/buy-house-ambroz-madrid-i15511003002315.htm,,Ambroz,250000,70,house
22,http://english.habitaclia.com/buy-house-penagrande-madrid-i19718000007707.htm,,Peñagrande,850000,383,house
23,http://english.habitaclia.com/buy-semi_detached_house-guindalera-madrid-i16051000002091.htm,,Guindalera,995000,208,house
24,http://english.habitaclia.com/buy-chalet_house-penagrande-madrid-i22346000000116.htm,,Peñagrande,529000,132,house
25,http://english.habitaclia.com/buy-house-piovera_conde_de_orgaz-madrid-i14951000006928.htm,,Piovera-Conde de Orgaz,1825000,845,house
26,http://english.habitaclia.com/buy-house-san_diego-madrid-i18579000000298.htm,,San Diego,450000,192,house
27,http://english.habitaclia.com/buy-house-de_jorge_juan_130_fuente_del_berro-madrid-i500003544495.htm,,Fuente del Berro,775000,159,house
28,http://english.habitaclia.com/buy-chalet_house-aeropuerto-madrid-i15658000000058.htm,,Aeropuerto,930000,425,house
29,http://english.habitaclia.com/buy-house-mirasierra-madrid-i500003491326.htm,,Mirasierra,1187500,305,house
30,http://english.habitaclia.com/buy-house-penagrande-madrid-i15511003002323.htm,,Peñagrande,1185000,270,house
31,http://english.habitaclia.com/buy-chalet_house-el_viso-madrid-i17930000001561.htm,,El Viso,2430000,331,house
32,http://english.habitaclia.com/buy-chalet_house-piovera_conde_de_orgaz-madrid-i22444000000184.htm,,Piovera-Conde de Orgaz,1220000,360,house
33,http://english.habitaclia.com/buy-towny_house-canillas-madrid-i19584000000067.htm,,Canillas,675000,262,house
34,http://english.habitaclia.com/buy-chalet_house-el_plantio-madrid-i15479000003022.htm,,El Plantío,3000000,2.400,house
35,http://english.habitaclia.com/buy-chalet_house-montecarmelo-madrid-i15996000001515.htm,,Montecarmelo,1050000,252,house
36,http://english.habitaclia.com/buy-chalet_house-rejas-madrid-i22309000000030.htm,,Rejas,420000,130,house
37,http://english.habitaclia.com/buy-chalet_house-ciudad_universitaria-madrid-i23450000000004.htm,,Ciudad Universitaria,5800000,2.040,house
38,http://english.habitaclia.com/buy-house-de_los_hermanos_gascon_36_valdefuentes_valdebebas-madrid-i500003736467.htm,,Valdefuentes-Valdebebas,680000,600,house
39,http://english.habitaclia.com/buy-towny_house-valdefuentes_valdebebas-madrid-i16311000000743.htm,,Valdefuentes-Valdebebas,1450000,360,house
40,http://english.habitaclia.com/buy-house-valdemarin-madrid-i24012000000080.htm,,Valdemarín,1680000,370,house
41,http://english.habitaclia.com/buy-house-butarque-madrid-i15511003002289.htm,,Butarque,649000,247,house
42,http://english.habitaclia.com/buy-semi_detached_house-puerta_del_angel-madrid-i22619000000391.htm,,Puerta del Ángel,1350000,596,house
43,http://english.habitaclia.com/buy-semi_detached_house-aravaca-madrid-i18122000000096.htm,,Aravaca,949000,289,house
44,http://english.habitaclia.com/buy-semi_detached_house-el_pardo-madrid-i15435000000920.htm,,El Pardo,385000,129,house
45,http://english.habitaclia.com/buy-semi_detached_house-aravaca-madrid-i17901000000777.htm,,Aravaca,450000,227,house
46,http://english.habitaclia.com/buy-house-aravaca-madrid-i17901000000770.htm,,Aravaca,800000,132,house
47,http://english.habitaclia.com/buy-towny_house-el_viso-madrid-i17645000000161.htm,,El Viso,1700000,225,house
48,http://english.habitaclia.com/buy-chalet_house-de_pegaso_15_canillas-madrid-i21795000000162.htm,,Canillas,549000,150,house
49,http://english.habitaclia.com/buy-house-pinar_del_rey-madrid-i500003461799.htm,,Pinar del Rey,850000,221,house
50,http://english.habitaclia.com/buy-semi_detached_house-penagrande-madrid-i16819000000912.htm,,Peñagrande,590000,267,house
51,http://english.habitaclia.com/buy-house-concepcion-madrid-i14951000008695.htm,,Concepción,640000,149,house
52,http://english.habitaclia.com/buy-house-corralejos_campo_de_las_naciones-madrid-i18424000000121.htm,,Corralejos-Campo de las Naciones,790000,357,house
53,http://english.habitaclia.com/buy-chalet_house-salvador-madrid-i17930000001655.htm,,Salvador,860000,470,house
54,http://english.habitaclia.com/buy-chalet_house-jeronimos-madrid-i17930000001545.htm,,Jerónimos,1500000,350,house
55,http://english.habitaclia.com/buy-house-tres_olivos_valverde-madrid-i17823000000296.htm,,Tres Olivos-Valverde,180000,76,house
56,http://english.habitaclia.com/buy-house-piovera_conde_de_orgaz-madrid-i15786000000076.htm,,Piovera-Conde de Orgaz,3500000,724,house
57,http://english.habitaclia.com/buy-semi_detached_house-canillas-madrid-i28310000000006.htm,,Canillas,895000,304,house
58,http://english.habitaclia.com/buy-semi_detached_house-penagrande-madrid-i16831000004535.htm,,Peñagrande,950000,407,house
59,http://english.habitaclia.com/buy-chalet_house-aravaca-madrid-i15479000003019.htm,,Aravaca,2050000,800,house
60,http://english.habitaclia.com/buy-chalet_house-el_viso-madrid-i27066000000072.htm,,El Viso,2430000,331,house
61,http://english.habitaclia.com/buy-house-penagrande-madrid-i16849000000703.htm,,Peñagrande,1000000,400,house
62,http://english.habitaclia.com/buy-house-mirasierra-madrid-i16311000000737.htm,,Mirasierra,3300000,680,house
