,url,address,loc,price,m2,type
0,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Timón,695000,310,house
1,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,calle amorebieta,El Pardo,2294000,1245,house
2,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Canillas,660000,228,house
3,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Numancia,219000,174,house
4,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Comillas,285000,95,house
5,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Valdezarza,1680000,457,house
6,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Piovera,1825000,845,house
7,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,El Viso,3250000,306,house
8,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,"Zofio, Zofío",790000,302,house
9,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Ciudad Universitaria,525000,134,house
10,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,El Pardo,3000000,761,house
11,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,"Nueva España, Nueva España",1590000,252,house
12,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,"Mirasierra, Mirasierra-Arroyo del Fresno",990000,375,house
13,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Piovera,2200000,443,house
14,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,"Valdemarín, Valdemarín",1500000,425,house
15,https://www.tucasa.com/compra-venta/casas-y-chalets/madrid/madrid-capital/?r=&idz=0028.0001.9999.0001&ord=&pgn=1,,Ciudad Universitaria,850000,700,house
